"Question","Slug","Url","Outcomes","Liquidity","Volume","PriceSum","PriceEdgePerSet","AskSum","EdgePerSet","EdgePct","TopDepthSets","EdgeAtTopUsd","BestAsks","BestBids","EnableOrderBook","AcceptingOrders","Restricted","NegRisk","EndDate","Decision","Notes"
"Will Pete Buttigieg win the 2028 US Presidential Election?","will-pete-buttigieg-win-the-2028-us-presidential-election","https://polymarket.com/market/will-pete-buttigieg-win-the-2028-us-presidential-election","2","525943.09","4832629.85","1.0000","0.0000","1.001","-0.001","-0.100","1605.61","-1.6056","Yes=0.0220 (4282.18); No=0.9790 (1605.61)","Yes=0.0210 (1605.61); No=0.9780 (4282.18)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Josh Shapiro win the 2028 US Presidential Election?","will-josh-shapiro-win-the-2028-us-presidential-election","https://polymarket.com/market/will-josh-shapiro-win-the-2028-us-presidential-election","2","419061.85","6818428.13","1.0000","0.0000","1.001","-0.001","-0.100","2992.95","-2.9930","Yes=0.0280 (2992.95); No=0.9730 (17613.75)","Yes=0.0270 (17613.75); No=0.9720 (2992.95)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will James Talarico win the 2028 Democratic presidential nomination?","will-james-talarico-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-james-talarico-win-the-2028-democratic-presidential-nomination","2","303381.81","9885007.87","1.0000","0.0000","1.001","-0.001","-0.100","25784.74","-25.7847","Yes=0.0150 (28991.13); No=0.9860 (25784.74)","Yes=0.0140 (25784.74); No=0.9850 (28991.13)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Graham Platner win the 2028 Democratic presidential nomination?","will-graham-platner-win-the-2028-democratic-presidential-nomination","https://polymarket.com/market/will-graham-platner-win-the-2028-democratic-presidential-nomination","2","141070.06","4719885.31","1.0000","0.0000","1.001","-0.001","-0.100","1533.76","-1.5338","Yes=0.0120 (1533.76); No=0.9890 (1756.49)","Yes=0.0110 (1756.49); No=0.9880 (1533.76)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Gavin Newsom win the 2028 US Presidential Election?","will-gavin-newsom-win-the-2028-us-presidential-election","https://polymarket.com/market/will-gavin-newsom-win-the-2028-us-presidential-election","2","463825.78","17278459.75","1.0000","0.0000","1.001","-0.001","-0.100","2179.75","-2.1798","Yes=0.1230 (20373.66); No=0.8780 (2179.75)","Yes=0.1220 (2179.75); No=0.8770 (20373.66)","True","True","True","True","2028-11-07T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Colombia win the 2026 FIFA World Cup?","will-colombia-win-the-2026-fifa-world-cup-734","https://polymarket.com/market/will-colombia-win-the-2026-fifa-world-cup-734","2","1926398.82","87786093.61","1.0000","0.0000","1.001","-0.001","-0.100","163959.88","-163.9599","Yes=0.0240 (163959.88); No=0.9770 (172294.82)","Yes=0.0230 (172294.82); No=0.9760 (163959.88)","True","True","True","True","2026-07-20T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Norway win the 2026 FIFA World Cup?","will-norway-win-the-2026-fifa-world-cup-893","https://polymarket.com/market/will-norway-win-the-2026-fifa-world-cup-893","2","2665013.02","91162485.69","1.0000","0.0000","1.001","-0.001","-0.100","42112.52","-42.1125","Yes=0.0190 (42112.52); No=0.9820 (759617.64)","Yes=0.0180 (759617.64); No=0.9810 (42112.52)","True","True","True","True","2026-07-20T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Mexico win the 2026 FIFA World Cup?","will-mexico-win-the-2026-fifa-world-cup-529","https://polymarket.com/market/will-mexico-win-the-2026-fifa-world-cup-529","2","957695.11","120043017.25","1.0000","0.0000","1.001","-0.001","-0.100","105909.95","-105.9100","Yes=0.0360 (236300.58); No=0.9650 (105909.95)","Yes=0.0350 (105909.95); No=0.9640 (236300.58)","True","True","True","True","2026-07-20T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Belgium win the 2026 FIFA World Cup?","will-belgium-win-the-2026-fifa-world-cup-358","https://polymarket.com/market/will-belgium-win-the-2026-fifa-world-cup-358","2","4789900.26","96577791.34","1.0000","0.0000","1.001","-0.001","-0.100","310790.5","-310.7905","Yes=0.0160 (1534660.89); No=0.9850 (310790.50)","Yes=0.0150 (310790.50); No=0.9840 (1534660.89)","True","True","True","True","2026-07-20T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
"Will Canada win the 2026 FIFA World Cup?","will-canada-win-the-2026-fifa-world-cup-755","https://polymarket.com/market/will-canada-win-the-2026-fifa-world-cup-755","2","8809071.79","95768026.53","1.0000","0.0000","1.001","-0.001","-0.100","1065043.1","-1065.0431","Yes=0.0030 (2604868.26); No=0.9980 (1065043.10)","Yes=0.0020 (1065043.10); No=0.9970 (2604868.26)","True","True","True","True","2026-07-20T00:00:00Z","NO LONG COMPLETE-SET EDGE",""
